Material 1,Dicke1 (mm),Material 2,Dicke2 (mm),Test,Elektrokraft (kN),Strom (kA),Stromzeit (ms),Ergebnis,,
V2A,1.5,V2A,1.5,Kopf,7,10,250,14.324799,,
V2A,1,V2A,0.8,Kopf,3.5,6.5,100,7.621762,,
V2A,1,V2A,0.8,Kopf,3.5,6.5,200,8.136651,,
V2A,1,V2A,0.8,Kopf,3.5,7.5,150,6.647493,,
V2A,1,V2A,0.8,Kopf,3.5,8.5,100,7.362738,,
V2A,1,V2A,0.8,Kopf,3.5,8.5,200,8.484122,,
V2A,1,V2A,0.8,Kopf,4,6.5,150,6.914184,,
V2A,1,V2A,0.8,Kopf,4,7.5,100,7.918692,,
V2A,1,V2A,0.8,Kopf,4,7.5,150,7.985844,,
V2A,1,V2A,0.8,Kopf,4,7.5,200,7.893421,,
V2A,1,V2A,0.8,Kopf,4,8.5,150,6.421406,,
V2A,1,V2A,0.8,Kopf,4.5,6.5,100,5.227369,,
V2A,1,V2A,0.8,Kopf,4.5,6.5,200,5.870421,,
V2A,1,V2A,0.8,Kopf,4.5,7.5,150,6.048665,,
V2A,1,V2A,0.8,Kopf,4.5,8.5,100,5.505346,,
V2A,1,V2A,0.8,Kopf,4.5,8.5,200,6.405612,,
V2A,1.5,V2A,0.8,Kopf,2.5,6,50,6.225559,,
V2A,1.5,V2A,0.8,Kopf,2.5,6,150,6.309676,,
V2A,1.5,V2A,0.8,Kopf,2.5,7,100,6.070776,,
V2A,1.5,V2A,0.8,Kopf,2.5,8,50,6.715178,,
V2A,1.5,V2A,0.8,Kopf,2.5,8,150,8.152445,,
V2A,1.5,V2A,0.8,Kopf,3,6,100,5.931788,,
V2A,1.5,V2A,0.8,Kopf,3,7,50,5.957058,,
V2A,1.5,V2A,0.8,Kopf,3,7,100,6.133953,,
V2A,1.5,V2A,0.8,Kopf,3,7,150,6.001282,,
V2A,1.5,V2A,0.8,Kopf,3,8,100,7.236385,,
V2A,1.5,V2A,0.8,Kopf,3.5,6,50,4.977821,,
V2A,1.5,V2A,0.8,Kopf,3.5,6,150,5.27791,,
V2A,1.5,V2A,0.8,Kopf,3.5,7,100,6.942613,,
V2A,1.5,V2A,0.8,Kopf,3.5,8,50,5.688558,,
V2A,1.5,V2A,0.8,Kopf,3.5,8,150,6.389818,,
V2A,1.5,V2A,1,Kopf,3.5,6.5,100,8.158763,,
V2A,1.5,V2A,1,Kopf,3.5,6.5,200,9.406501,,
V2A,1.5,V2A,1,Kopf,3.5,7.5,150,9.027441,,
V2A,1.5,V2A,1,Kopf,3.5,8.5,100,10.341514,,
V2A,1.5,V2A,1,Kopf,3.5,8.5,200,9.131683,,
V2A,1.5,V2A,1,Kopf,4,6.5,150,7.157414,,
V2A,1.5,V2A,1,Kopf,4,7.5,100,8.24721,,
V2A,1.5,V2A,1,Kopf,4,7.5,150,10.120396,,
V2A,1.5,V2A,1,Kopf,4,7.5,200,7.830245,,
V2A,1.5,V2A,1,Kopf,4,8.5,150,8.316704,,
V2A,1.5,V2A,1,Kopf,4.5,6.5,100,9.564441,,
V2A,1.5,V2A,1,Kopf,4.5,6.5,200,9.719351,,
V2A,1.5,V2A,1,Kopf,4.5,7.5,150,10.474185,,
V2A,1.5,V2A,1,Kopf,4.5,8.5,100,7.233226,,
V2A,1.5,V2A,1,Kopf,4.5,8.5,200,8.503075,,
AA5754,1,AA5754,1,Kopf,2.5,32,50,1.221972,,
AA5754,1,AA5754,1,Kopf,2.5,32,70,1.563126,,
AA5754,1,AA5754,1,Kopf,2.5,34,60,1.626303,,
AA5754,1,AA5754,1,Kopf,2.5,36,50,2.675034,,
AA5754,1,AA5754,1,Kopf,2.5,36,70,1.455726,,
AA5754,1,AA5754,1,Kopf,3,32,60,1.942186,,
AA5754,1,AA5754,1,Kopf,3,34,50,1.74002,,
AA5754,1,AA5754,1,Kopf,3,34,60,1.759305,,
AA5754,1,AA5754,1,Kopf,3,34,70,1.926391,,
AA5754,1,AA5754,1,Kopf,3,36,60,2.242274,,
AA5754,1,AA5754,1,Kopf,3.5,32,50,1.68632,,
AA5754,1,AA5754,1,Kopf,3.5,32,70,1.711591,,
AA5754,1,AA5754,1,Kopf,3.5,34,60,1.980091,,
AA5754,1,AA5754,1,Kopf,3.5,36,50,1.964297,,
AA5754,1,AA5754,1,Kopf,3.5,36,70,2.109604,,
AA5754,1,AL6547,1,Kopf,2.5,32,50,1.136684,,
AA5754,1,AL6547,1,Kopf,2.5,32,70,1.301937,,
AA5754,1,AL6547,1,Kopf,2.5,34,60,1.632804,,
AA5754,1,AL6547,1,Kopf,2.5,36,50,1.932709,,
AA5754,1,AL6547,1,Kopf,2.5,36,70,2.062221,,
AA5754,1,AL6547,1,Kopf,3,32,60,1.995886,,
AA5754,1,AL6547,1,Kopf,3,34,50,1.989568,,
AA5754,1,AL6547,1,Kopf,3,34,60,2.084782,,
AA5754,1,AL6547,1,Kopf,3,34,70,1.314616,,
AA5754,1,AL6547,1,Kopf,3,36,60,1.967456,,
AA5754,1,AL6547,1,Kopf,3.5,32,50,1.872691,,
AA5754,1,AL6547,1,Kopf,3.5,32,70,1.781085,,
AA5754,1,AL6547,1,Kopf,3.5,34,60,1.825309,,
AA5754,1,AL6547,1,Kopf,3.5,36,50,1.19986,,
AA5754,1,AL6547,1,Kopf,3.5,36,70,1.383073,,
AA5754,1,AA6014,1.5,Kopf,2.5,32,50,2.188574,,
AA5754,1,AA6014,1.5,Kopf,2.5,32,70,1.945344,,
AA5754,1,AA6014,1.5,Kopf,2.5,34,60,1.387225,,
AA5754,1,AA6014,1.5,Kopf,2.5,36,50,2.22648,,
AA5754,1,AA6014,1.5,Kopf,2.5,36,70,1.433614,,
AA5754,1,AA6014,1.5,Kopf,3,32,60,1.689479,,
AA5754,1,AA6014,1.5,Kopf,3,34,50,1.515743,,
AA5754,1,AA6014,1.5,Kopf,3,34,60,1.858974,,
AA5754,1,AA6014,1.5,Kopf,3,34,70,1.487314,,
AA5754,1,AA6014,1.5,Kopf,3,36,60,2.049586,,
AA5754,1,AA6014,1.5,Kopf,3.5,32,50,2.059062,,
AA5754,1,AA6014,1.5,Kopf,3.5,32,70,2.068539,,
AA5754,1,AA6014,1.5,Kopf,3.5,34,60,1.420979,,
AA5754,1,AA6014,1.5,Kopf,3.5,36,50,1.866374,,
AA5754,1,AA6014,1.5,Kopf,3.5,36,70,2.128556,,
AA6014,1.5,AA6014,1.5,Kopf,3.5,37,90,3.077377,,
AA6014,1.5,AA6014,1.5,Kopf,3.5,37,110,3.208876,,
AA6014,1.5,AA6014,1.5,Kopf,3.5,38,100,2.485504,,
AA6014,1.5,AA6014,1.5,Kopf,3.5,39,90,2.235957,,
AA6014,1.5,AA6014,1.5,Kopf,3.5,39,110,2.697146,,
AA6014,1.5,AA6014,1.5,Kopf,4,37,100,2.779275,,
AA6014,1.5,AA6014,1.5,Kopf,4,38,90,3.38893,,
AA6014,1.5,AA6014,1.5,Kopf,4,38,100,3.353129,,
AA6014,1.5,AA6014,1.5,Kopf,4,38,110,3.035141,,
AA6014,1.5,AA6014,1.5,Kopf,4,39,100,1.980091,,
AA6014,1.5,AA6014,1.5,Kopf,4.5,37,90,2.861405,,
AA6014,1.5,AA6014,1.5,Kopf,4.5,37,110,2.946693,,
AA6014,1.5,AA6014,1.5,Kopf,4.5,38,100,2.889835,,
AA6014,1.5,AA6014,1.5,Kopf,4.5,39,90,3.0383,,
AA6014,1.5,AA6014,1.5,Kopf,4.5,39,110,3.22467,,
AA6014,1.5,AL6547,1,Kopf,2.5,32,50,2.062221,,
AA6014,1.5,AL6547,1,Kopf,2.5,32,70,2.30861,,
